5000 0.7653110027313232 237
10000 2.4422645568847656 430
15000 5.1939427852630615 622
20000 11.17819619178772 1131
25000 14.807015419006348 1171
30000 22.904751539230347 1537
35000 28.29489541053772 1665
40000 38.11587405204773 1969
45000 46.061612606048584 2124
50000 58.834065675735474 2433
55000 72.99464273452759 2771
60000 85.02159333229065 2914
65000 97.27392363548279 3128
70000 116.43102860450745 3551
5000 0.840390682220459 232
10000 2.5647127628326416 480
15000 5.820109844207764 765
20000 10.608942031860352 1029
25000 14.73915433883667 1150
30000 22.29286527633667 1539
35000 27.71881890296936 1620
40000 37.686569690704346 1906
45000 47.9559280872345 2189
50000 57.31191611289978 2424
55000 72.99957180023193 2783
60000 89.08861970901489 3163
65000 101.86686158180237 3332
70000 111.22867751121521 3373
5000 0.7750179767608643 237
10000 2.709604024887085 497
15000 5.657835245132446 713
20000 10.40697193145752 1020
25000 15.084204912185669 1230
30000 20.88873529434204 1440
35000 31.980801582336426 1920
40000 36.050419330596924 1862
45000 47.967952489852905 2225
50000 57.69086694717407 2417
55000 69.21623611450195 2661
60000 84.95882678031921 3010
65000 95.65953874588013 3129
70000 118.68035912513733 3598
5000 0.7843544483184814 209
10000 2.6431682109832764 483
15000 5.437628746032715 678
20000 9.729180812835693 965
25000 15.613059997558594 1261
30000 19.40000033378601 1304
35000 31.279768228530884 1839
40000 41.39348864555359 2084
45000 48.941890001297 2215
50000 57.58860397338867 2395
55000 71.28173494338989 2755
60000 82.10126733779907 2877
65000 94.46840262413025 3029
70000 115.25209474563599 3547
5000 0.8910410404205322 261
10000 2.861147165298462 545
15000 5.055340051651001 608
20000 9.157215356826782 923
25000 14.96993613243103 1228
30000 22.449478149414062 1567
35000 29.00124216079712 1717
40000 37.45545816421509 1874
45000 47.81390070915222 2209
50000 57.93908214569092 2463
55000 74.17764067649841 2890
60000 82.04918456077576 2907
65000 100.34221863746643 3310
70000 115.26167845726013 3473
5000 0.709716796875 198
10000 2.495889663696289 457
15000 5.2345054149627686 655
20000 9.938439846038818 974
25000 14.877018690109253 1208
30000 22.987299919128418 1525
35000 29.394253492355347 1736
40000 37.560486793518066 1929
45000 49.1085741519928 2287
50000 60.87583780288696 2613
55000 72.89781212806702 2777
60000 88.11244082450867 3112
65000 96.18099212646484 3155
70000 114.01773524284363 3473
5000 0.7684988975524902 226
10000 2.637768507003784 479
15000 6.166254043579102 834
20000 9.329959392547607 915
25000 15.281277179718018 1247
30000 21.920950651168823 1525
35000 28.499204635620117 1663
40000 37.500128507614136 1944
45000 48.898515939712524 2283
50000 59.13823461532593 2516
55000 73.24211883544922 2815
60000 82.77383995056152 2849
65000 102.06481766700745 3296
70000 114.12233567237854 3454
5000 0.8960762023925781 242
10000 2.8558948040008545 559
15000 5.389332294464111 688
20000 11.06669545173645 1091
25000 15.93733811378479 1295
30000 22.475487232208252 1539
35000 29.733636140823364 1781
40000 37.74130940437317 1968
45000 48.63921356201172 2271
50000 58.03860831260681 2446
55000 71.14608502388 2719
60000 89.23377132415771 3125
65000 101.10418653488159 3262
70000 112.07177448272705 3369
5000 0.7206008434295654 207
10000 2.690595865249634 481
15000 5.318357467651367 683
20000 9.6969895362854 954
25000 14.862591981887817 1185
30000 22.90171194076538 1555
35000 30.271722078323364 1762
40000 38.6998176574707 1990
45000 45.66452121734619 2100
50000 59.261687994003296 2481
55000 74.13877987861633 2855
60000 83.46730828285217 2957
65000 100.70847964286804 3257
70000 109.85710382461548 3368
5000 0.7439393997192383 235
10000 2.372046947479248 438
15000 5.572867155075073 706
20000 10.323597431182861 995
25000 14.983219861984253 1216
30000 21.44364595413208 1470
35000 31.011282920837402 1764
40000 36.72695350646973 1883
45000 48.8075475692749 2256
50000 57.39550423622131 2404
55000 70.40510296821594 2612
60000 84.47419047355652 2974
65000 102.63564276695251 3330
70000 119.24728798866272 3629
