5000 0.581406831741333,
10000 1.4292690753936768,
15000 2.6387293338775635,
20000 4.137362718582153,
25000 5.887855052947998,
30000 8.286475658416748,
35000 10.066462755203247,
40000 13.459279298782349,
45000 16.88542413711548,
50000 19.328367710113525,
55000 24.008431434631348,
60000 26.753373384475708,
65000 32.63511276245117,
70000 37.58401274681091,
5000 0.5163662433624268,
10000 1.4149582386016846,
15000 2.4228663444519043,
20000 4.299307823181152,
25000 5.77899432182312,
30000 8.101707458496094,
35000 10.091389894485474,
40000 13.115797281265259,
45000 16.152881145477295,
50000 19.49513006210327,
55000 23.45895004272461,
60000 27.81497573852539,
65000 32.20338439941406,
70000 36.16729211807251,
5000 0.5144290924072266,
10000 1.372762680053711,
15000 2.5828258991241455,
20000 4.252587556838989,
25000 5.890585422515869,
30000 8.110596179962158,
35000 10.692803859710693,
40000 13.075814723968506,
45000 16.656168460845947,
50000 19.857585191726685,
55000 24.088382482528687,
60000 27.127480268478394,
65000 33.01252865791321,
70000 38.593398332595825,
5000 0.5349667072296143,
10000 1.5304861068725586,
15000 2.584813117980957,
20000 4.472336530685425,
25000 6.064481019973755,
30000 8.556318998336792,
35000 11.01896858215332,
40000 13.715234279632568,
45000 16.70679497718811,
50000 20.073780059814453,
55000 22.929181814193726,
60000 27.671579360961914,
65000 32.15552997589111,
70000 36.638742446899414,
5000 0.5372397899627686,
10000 1.3798482418060303,
15000 2.72102689743042,
20000 4.128605365753174,
25000 6.086973428726196,
30000 8.366928100585938,
35000 10.280757427215576,
40000 13.626725673675537,
45000 16.439136743545532,
50000 20.208099126815796,
55000 23.848573446273804,
60000 27.516351461410522,
65000 31.602521657943726,
70000 37.25381326675415,
5000 0.514164924621582,
10000 1.351313591003418,
15000 2.6526947021484375,
20000 4.165459394454956,
25000 5.9863831996917725,
30000 8.037342548370361,
35000 10.514953136444092,
40000 13.36969804763794,
45000 16.29115653038025,
50000 20.51948857307434,
55000 22.981030464172363,
60000 28.291067123413086,
65000 31.70082950592041,
70000 36.48241901397705,
5000 0.6606297492980957,
10000 1.406679630279541,
15000 2.4149301052093506,
20000 4.212383270263672,
25000 6.044530868530273,
30000 8.052323579788208,
35000 10.47849416732788,
40000 13.389178037643433,
45000 16.296870470046997,
50000 19.720508098602295,
55000 23.714473247528076,
60000 26.747782468795776,
65000 31.095109462738037,
70000 36.4418683052063,
5000 0.5318048000335693,
10000 1.3357653617858887,
15000 2.7620046138763428,
20000 4.293406248092651,
25000 5.742130756378174,
30000 8.091404438018799,
35000 10.67030119895935,
40000 13.548723936080933,
45000 15.7244713306427,
50000 19.6833815574646,
55000 23.66369318962097,
60000 27.067850351333618,
65000 32.72043418884277,
70000 36.54954934120178,
5000 0.46364927291870117,
10000 1.3727221488952637,
15000 2.604125499725342,
20000 3.7087175846099854,
25000 6.135692358016968,
30000 8.1546311378479,
35000 10.617826461791992,
40000 13.69186282157898,
45000 16.449568033218384,
50000 19.637642860412598,
55000 23.172804355621338,
60000 27.708915948867798,
65000 32.01280355453491,
70000 36.37416052818298,
5000 0.5283863544464111,
10000 1.3406634330749512,
15000 2.6404125690460205,
20000 4.0212860107421875,
25000 5.805274248123169,
30000 8.208999156951904,
35000 10.164358615875244,
40000 13.594839334487915,
45000 16.358710050582886,
50000 19.953698873519897,
55000 23.33100152015686,
60000 26.935600519180298,
65000 32.458736181259155,
70000 35.230475187301636,
