5000 5.664805889129639,
15000 51.980756998062134,
25000 136.0771827697754,
35000 264.3153438568115,
45000 438.24101996421814,
55000 658.0080964565277,
65000 911.0643701553345,
5000 5.5039894580841064,
15000 48.67759585380554,
25000 134.27552485466003,
35000 263.300847530365,
45000 434.5949022769928,
55000 650.2418222427368,
65000 919.6212167739868,
5000 5.452691316604614,
15000 49.82159423828125,
25000 134.609445810318,
35000 263.31868052482605,
45000 439.9711310863495,
55000 647.3899104595184,
65000 939.4880104064941,
5000 5.396692991256714,
15000 47.8187894821167,
25000 137.68767857551575,
35000 262.5143210887909,
45000 439.19066286087036,
55000 654.4205882549286,
65000 911.6496412754059,
5000 5.548901081085205,
15000 49.91969347000122,
25000 136.88760900497437,
35000 265.05476784706116,
45000 441.1673901081085,
55000 652.3407235145569,
65000 898.608277797699,
5000 5.3947594165802,
15000 48.704142332077026,
25000 134.49608278274536,
35000 263.3832120895386,
45000 441.0052890777588,
55000 654.0813248157501,
65000 908.5929381847382,
5000 5.442947149276733,
15000 49.66270112991333,
25000 136.5041127204895,
35000 264.01998233795166,
45000 439.7050817012787,
55000 658.5370576381683,
65000 912.4795155525208,
5000 5.485246658325195,
15000 48.57060742378235,
25000 134.21552538871765,
35000 263.3313524723053,
45000 451.80769658088684,
55000 657.4058899879456,
65000 900.1495068073273,
5000 5.320996284484863,
15000 48.26065921783447,
25000 137.67120170593262,
35000 265.22997426986694,
45000 438.9531784057617,
55000 649.6163699626923,
65000 916.6908082962036,
5000 5.362025499343872,
15000 48.316784143447876,
25000 134.85455203056335,
35000 262.07060050964355,
45000 437.8301911354065,
55000 655.8646426200867,
65000 909.7753572463989,
10000 23.17499041557312,
20000 87.40294861793518,
30000 195.62254786491394,
40000 351.4752368927002,
50000 546.092805147171,
0 1.3113021850585938e-05,
10000 22.058452606201172,
20000 88.03441429138184,
30000 196.95221710205078,
40000 351.30363941192627,
50000 549.4513125419617,
0 1.430511474609375e-05,
10000 21.89527988433838,
20000 87.67816591262817,
30000 196.92575645446777,
40000 348.16504669189453,
50000 544.0704128742218,
0 1.33514404296875e-05,
10000 21.604570388793945,
20000 86.94034481048584,
30000 196.20521068572998,
40000 349.81432700157166,
50000 541.7000267505646,
0 1.3828277587890625e-05,
10000 22.00314450263977,
20000 86.90202283859253,
30000 193.93237257003784,
40000 349.74484872817993,
50000 542.0914957523346,
0 1.33514404296875e-05,
10000 21.69269037246704,
20000 86.71324372291565,
30000 198.2362232208252,
40000 349.00054907798767,
50000 533.7735021114349,
0 1.7881393432617188e-05,
10000 21.686086177825928,
20000 87.90989422798157,
30000 195.0913028717041,
40000 348.302592754364,
50000 544.0947163105011,
0 1.2159347534179688e-05,
10000 21.828569173812866,
20000 87.1834225654602,
30000 195.7910192012787,
40000 348.16657280921936,
50000 541.8326728343964,
0 1.33514404296875e-05,
10000 21.637596368789673,
20000 87.59904885292053,
30000 194.30194449424744,
40000 348.20664072036743,
50000 544.9170572757721,
0 1.3828277587890625e-05,
10000 21.681299448013306,
20000 87.134530544281,
30000 195.39031672477722,
40000 348.7443504333496,
50000 544.6399681568146,
60000 786.7438585758209,
70000 1095.938514471054,
80000 1421.7148914337158,
90000 1789.096219778061,
100000 2211.7374000549316,
60000 791.5882050991058,
70000 1084.3903114795685,
80000 1405.9175851345062,
90000 1790.7973911762238,
100000 2200.6650347709656,
60000 790.3646216392517,
70000 1081.424301624298,
80000 1377.5556769371033,
90000 1797.6537430286407,
100000 2203.9101877212524,
60000 791.2860605716705,
70000 1079.982747554779,
80000 1411.2792704105377,
90000 1789.7421402931213,
100000 2204.8669106960297,
60000 792.919679403305,
70000 1056.9510202407837,
80000 1418.3896989822388,
90000 1790.6398899555206,
100000 2198.1740899086,
60000 794.9956440925598,
70000 1061.1924991607666,
80000 1410.5225310325623,
90000 1792.5643317699432,
100000 2202.2778453826904,
60000 795.0081343650818,
70000 1046.2460482120514,
80000 1408.1141233444214,
90000 1787.7332139015198,
100000 2201.798073530197,
60000 793.6976017951965,
70000 1039.9796471595764,
80000 1406.128549337387,
90000 1789.1639740467072,
100000 2197.0054140090942,
60000 791.8436431884766,
70000 1042.1575148105621,
80000 1407.5725734233856,
90000 1792.6234300136566,
100000 2211.3509471416473,
60000 796.684154510498,
70000 1070.3299014568329,
80000 1441.914746761322,
90000 1828.8032019138336,
100000 2206.6726734638214,
