10000 25.86489224433899,
20000 101.68468189239502,
30000 226.8386161327362,
40000 409.9643268585205,
50000 626.4952676296234,
60000 896.8655898571014,
70000 1240.5559949874878,
10000 25.381298303604126,
20000 102.22630167007446,
30000 221.7693464756012,
40000 404.68181014060974,
50000 626.8420145511627,
60000 895.6243777275085,
70000 1220.0601680278778,
10000 25.3926043510437,
20000 102.2810411453247,
30000 223.73670983314514,
40000 402.05690336227417,
50000 621.935656785965,
60000 890.7308933734894,
70000 1222.8119418621063,
10000 25.23590350151062,
20000 100.68171453475952,
30000 224.4227590560913,
40000 409.73479747772217,
50000 626.2611813545227,
60000 889.9855473041534,
70000 1223.4323358535767,
10000 25.214802742004395,
20000 100.68984651565552,
30000 221.5443160533905,
40000 400.9077115058899,
50000 627.0001544952393,
60000 890.4771361351013,
70000 1217.1111507415771,
