Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,0.30627,0.30627,0.30627,0.30627,2441124,0
1970-01-05,0.30627,0.31768,0.30627,0.31385,6219848,0
1970-01-06,0.31385,0.31385,0.30996,0.30996,4447522,0
1970-01-07,0.31385,0.31385,0.31385,0.31385,1872638,0
1970-01-08,0.31385,0.31768,0.31385,0.31385,4280330,0
1970-01-09,0.31385,0.31768,0.31385,0.31768,1605118,0
1970-01-12,0.31768,0.32534,0.31768,0.32534,735684,0
1970-01-13,0.32534,0.32916,0.32152,0.32152,3444327,0
1970-01-14,0.32152,0.32534,0.31768,0.32152,3879050,0
1970-01-15,0.32152,0.32916,0.32152,0.32916,2307361,0
1970-01-16,0.32916,0.32916,0.31385,0.32534,8059061,0
1970-01-19,0.32534,0.32534,0.32152,0.32152,3711854,0
1970-01-20,0.32152,0.32916,0.32152,0.32916,2441124,0
1970-01-21,0.32916,0.32916,0.32534,0.32916,1404481,0
1970-01-22,0.32916,0.32916,0.32534,0.32916,1939528,0
1970-01-23,0.32534,0.32534,0.32152,0.32152,1003201,0
1970-01-26,0.32152,0.32152,0.31768,0.31768,8159375,0
1970-01-27,0.31768,0.31768,0.30996,0.30996,9463544,0
1970-01-28,0.30996,0.31385,0.30627,0.30627,2508009,0
1970-01-29,0.30627,0.31768,0.2986,0.30234,11436503,0
1970-01-30,0.30234,0.30234,0.2986,0.2986,2039847,0
1970-02-02,0.2986,0.30627,0.2986,0.2986,2508009,0
1970-02-03,0.2986,0.2986,0.28705,0.2986,7223055,0
1970-02-04,0.2986,0.30996,0.29467,0.29467,3711854,0
1970-02-05,0.29095,0.29095,0.28323,0.28705,3979367,0
1970-02-06,0.28705,0.30234,0.28705,0.30234,8259696,0
1970-02-09,0.30234,0.30234,0.2986,0.2986,2875845,0
1970-02-10,0.2986,0.2986,0.2986,0.2986,1136957,0
1970-02-11,0.2986,0.30627,0.2986,0.30234,4246889,0
1970-02-12,0.30234,0.30627,0.30234,0.30234,2976162,0
1970-02-13,0.30234,0.30234,0.30234,0.30234,1839205,0
1970-02-16,0.30627,0.30996,0.30627,0.30996,4547849,0
1970-02-17,0.30996,0.31768,0.30996,0.30996,1939528,0
1970-02-18,0.30996,0.31385,0.30996,0.31385,1671999,0
1970-02-19,0.30996,0.30996,0.29095,0.29095,5551057,0
1970-02-20,0.29095,0.29467,0.28705,0.29095,12138744,0
1970-02-24,0.29095,0.29467,0.29095,0.29467,3879050,0
1970-02-25,0.29467,0.2986,0.29467,0.29467,3644968,0
1970-02-26,0.29467,0.29467,0.29467,0.29467,2307361,0
1970-02-27,0.29467,0.2986,0.29467,0.2986,4547849,0
1970-03-02,0.2986,0.30234,0.28323,0.28323,5082887,0
1970-03-03,0.28323,0.28323,0.27561,0.28323,6955535,0
1970-03-04,0.28323,0.29095,0.28323,0.28705,8259696,0
1970-03-05,0.28705,0.28705,0.28323,0.28323,8360015,0
1970-03-06,0.28323,0.28323,0.28323,0.28323,3912487,0
1970-03-09,0.27943,0.27943,0.27183,0.27183,8460336,0
1970-03-10,0.27183,0.27561,0.27183,0.27561,2909288,0
1970-03-11,0.27561,0.27561,0.27561,0.27561,3410883,0
1970-03-12,0.27561,0.27561,0.27183,0.27183,2909288,0
1970-03-13,0.27183,0.27183,0.27183,0.27183,2407689,0
1970-03-16,0.27183,0.27183,0.27183,0.27183,1504801,0
1970-03-17,0.27183,0.27943,0.27183,0.27943,1839205,0
1970-03-18,0.27943,0.28323,0.27943,0.27943,6152970,0
1970-03-19,0.27561,0.27561,0.27183,0.27561,7524019,0
1970-03-20,0.27183,0.27183,0.27183,0.27183,2056561,0
1970-03-23,0.27183,0.27183,0.26416,0.26416,4832088,0
1970-03-24,0.26416,0.26791,0.26416,0.26416,4648175,0
1970-03-25,0.26416,0.26791,0.26416,0.26791,2558161,0
1970-03-26,0.26791,0.27183,0.26791,0.26791,2708646,0
1970-03-30,0.26791,0.26791,0.26031,0.26416,3661686,0
1970-03-31,0.26416,0.26416,0.26031,0.26416,2374247,0
1970-04-01,0.26416,0.27183,0.26416,0.27183,3845607,0
1970-04-02,0.27183,0.27561,0.26791,0.27183,15131630,0
1970-04-03,0.27183,0.27183,0.26791,0.26791,5233383,0
1970-04-06,0.26791,0.26791,0.24875,0.24875,7423693,0
1970-04-07,0.24875,0.25264,0.24106,0.24504,4263606,0
1970-04-08,0.24504,0.25264,0.24504,0.24875,3477766,0
1970-04-09,0.24875,0.25264,0.24875,0.24875,4313769,0
1970-04-10,0.24875,0.2565,0.24875,0.2565,2608326,0
1970-04-13,0.2565,0.2565,0.2565,0.2565,1722164,0
1970-04-14,0.2565,0.2565,0.25264,0.2565,2691929,0
1970-04-15,0.2565,0.26416,0.25264,0.25264,2892563,0
1970-04-16,0.25264,0.25264,0.24504,0.24504,3126646,0
